categorie,titre,description,use_cases,technologies,livrables,delai_indicatif
Web & Mobile,Site vitrine professionnel,"Site web vitrine sur mesure conçu pour entreprise, freelance, indépendant ou TPE. Design moderne, responsive sur tous les écrans, optimisé pour la performance et le référencement Google. Pensé pour convertir les visiteurs en clients grâce à une structure claire et des appels à l'action efficaces.","Présenter une activité professionnelle, capter des prospects, inspirer confiance, gagner en visibilité Google, asseoir une crédibilité en ligne","React, Tailwind CSS, Vite, Vercel, Figma","Site déployé en production, code source complet, formation à la mise à jour de contenu, 1 mois de support technique",2 à 4 semaines
Web & Mobile,Refonte et modernisation de site,"Modernisation complète d'un site existant lent, daté ou peu performant. Audit du site actuel, redesign visuel, refonte de l'architecture technique et optimisation des temps de chargement. Migration éventuelle vers un stack moderne plus rapide à maintenir.","Site lent à charger, design vieillissant, mauvais référencement Google, plateforme difficile à mettre à jour, expérience mobile dégradée","React, Next.js, Tailwind CSS, audits Lighthouse, outils SEO","Site refondu et déployé, rapport d'audit avant/après, recommandations SEO, formation à la nouvelle interface",3 à 6 semaines
Web & Mobile,Développement full-stack sur mesure,"Application web complète développée de bout en bout : interface utilisateur React, API backend Node.js ou Laravel, base de données relationnelle, authentification sécurisée et tableau de bord administrateur. Solution adaptée précisément aux besoins métier du client.","Plateforme SaaS, marketplace, espace client, application métier interne, outil de gestion sur mesure, MVP startup","React, Node.js, Laravel, PHP, MySQL, AdonisJS, Vercel","Application web complète déployée, documentation technique, accès admin, code source, formation utilisateur",6 à 12 semaines
Web & Mobile,Portfolio professionnel,"Portfolio personnalisé pour mettre en valeur un profil professionnel, des créations artistiques, un parcours académique ou un travail freelance. Design unique, adapté à l'identité de la personne, avec animations soignées et performance optimale.","Freelance cherchant à se démarquer, étudiant en recherche de stage, artiste exposant ses créations, agent de santé, consultant indépendant","React, Tailwind CSS, Framer Motion, Vercel","Portfolio en ligne, code source, nom de domaine configuré, formation à la mise à jour",1 à 3 semaines
Web & Mobile,Application mobile Android et iOS,"Application mobile cross-platform développée avec React Native. Une seule base de code génère deux applications natives, l'une pour Android, l'autre pour iOS. Interface fluide, performante, et publication assistée sur les stores.","MVP startup mobile, application métier interne, app produit grand public, marketplace mobile, outil de fidélité client","React Native, Expo, Firebase, API REST, Stores Apple et Google","Apps Android et iOS, code source, accompagnement à la publication sur les stores, support post-lancement",6 à 10 semaines
IA & Machine Learning,Chatbot IA sur documents (RAG),"Assistant conversationnel intelligent qui répond aux questions posées par vos visiteurs ou collaborateurs en s'appuyant sur vos documents internes : PDF, Word, Excel, base de connaissances. Le bot ne peut pas inventer puisqu'il cite directement vos sources. Une démonstration concrète de ce service est visible sur ce portfolio.","Support client automatisé 24/7, FAQ dynamique sur site web, assistant interne pour onboarding employé, accès rapide à la documentation produit, démonstration commerciale","React, Node.js, Hugging Face Inference API, Llama 3.1, embeddings sentence-transformers, Vercel Functions","Chatbot intégré au site, base de connaissances indexée, interface admin pour mise à jour, documentation technique",3 à 5 semaines
IA & Machine Learning,Intégration IA dans une application,"Ajout de fonctionnalités intelligentes à une application existante : génération de texte automatique, résumé de documents, classification automatique de contenu, recommandations personnalisées, recherche sémantique intelligente.","Génération de descriptions produit, résumé automatique d'articles ou rapports, modération de contenu, recommandations utilisateur, recherche en langage naturel","Hugging Face, OpenAI API, Python, Node.js, intégration via API REST","Fonctionnalités IA intégrées, documentation technique, monitoring des coûts API, tests qualité",2 à 4 semaines
IA & Machine Learning,Modèle de prédiction ML,"Conception d'un modèle de machine learning sur mesure pour anticiper des résultats métier à partir de données historiques. Analyse exploratoire des données, sélection des variables pertinentes, entraînement et évaluation du modèle.","Prédiction de churn client, prévision de ventes, estimation de prix, scoring de risque, prédiction de demande","Python, scikit-learn, Pandas, TensorFlow, notebooks Jupyter","Modèle entraîné et exporté, rapport d'analyse, code source documenté, API d'inférence si demandée",3 à 6 semaines
IA & Machine Learning,Vision par ordinateur,"Modèle de deep learning pour analyser automatiquement des images ou vidéos : détection d'objets, classification, reconnaissance de motifs visuels, comptage automatique. Solution adaptée aux processus métier impliquant beaucoup d'images.","Contrôle qualité automatisé en industrie, détection automatique sur photos médicales, classification de produits, comptage en agriculture, analyse de documents scannés","Python, TensorFlow, Keras, OpenCV, modèles pré-entraînés (CNN)","Modèle entraîné, jeu de tests, documentation technique, API d'inférence, instructions de déploiement",4 à 8 semaines
IA & Machine Learning,Modèle IA custom léger,"Conception et entraînement d'un modèle IA léger optimisé pour un cas d'usage spécifique. Privilégie la performance et la rapidité d'inférence par rapport à la taille du modèle. Idéal lorsque les solutions génériques ne suffisent pas.","Tâche spécialisée non couverte par les API existantes, contrainte de latence forte, traitement local sans envoi de données vers des API tierces, contrainte budgétaire","Python, scikit-learn, TensorFlow Lite, ONNX, optimisation de modèles","Modèle léger optimisé, benchmarks de performance, documentation technique, code d'inférence",4 à 8 semaines
